GO:0009987	P	0.89	cellular process
GO:0044699	P	0.86	single-organism process
GO:0065007	P	0.85	biological regulation
GO:0050789	P	0.85	regulation of biological process
GO:0050794	P	0.79	regulation of cellular process
GO:0050896	P	0.59	response to stimulus
GO:0048519	P	0.31	negative regulation of biological process
GO:0008152	P	0.30	metabolic process
GO:0002376	P	0.28	immune system process
GO:0048523	P	0.27	negative regulation of cellular process
GO:0009605	P	0.26	response to external stimulus
GO:0051704	P	0.23	multi-organism process
GO:0043207	P	0.23	response to external biotic stimulus
GO:0051707	P	0.21	response to other organism
GO:0009615	P	0.18	response to virus
GO:0042221	P	0.16	response to chemical
GO:0007165	P	0.16	signal transduction
GO:0010033	P	0.15	response to organic substance
GO:0019222	P	0.13	regulation of metabolic process
GO:0060255	P	0.12	regulation of macromolecule metabolic process
GO:0007166	P	0.12	cell surface receptor signaling pathway
GO:0048518	P	0.11	positive regulation of biological process
GO:0080090	P	0.10	regulation of primary metabolic process
GO:0044763	P	0.10	single-organism cellular process
GO:0031323	P	0.10	regulation of cellular metabolic process
GO:0006950	P	0.10	response to stress
GO:0044710	P	0.09	single-organism metabolic process
GO:0043900	P	0.09	regulation of multi-organism process
GO:0034097	P	0.09	response to cytokine
