GO:0009987	P	0.88	cellular process
GO:0008152	P	0.74	metabolic process
GO:0044237	P	0.40	cellular metabolic process
GO:0071704	P	0.32	organic substance metabolic process
GO:0044238	P	0.32	primary metabolic process
GO:0016043	P	0.27	cellular component organization
GO:0044249	P	0.26	cellular biosynthetic process
GO:0044763	P	0.18	single-organism cellular process
GO:0046483	P	0.11	heterocycle metabolic process
GO:0043170	P	0.11	macromolecule metabolic process
GO:0006139	P	0.10	nucleobase-containing compound metabolic process
