GO:0003824	F	0.99	catalytic activity
GO:0016491	F	0.49	oxidoreductase activity
GO:0016702	F	0.31	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0010436	F	0.30	carotenoid dioxygenase activity
GO:0016740	F	0.03	transferase activity
GO:0022857	F	0.02	transmembrane transporter activity
GO:0016772	F	0.02	transferase activity, transferring phosphorus-containing groups
GO:0046873	F	0.01	metal ion transmembrane transporter activity
GO:0042802	F	0.01	identical protein binding
GO:0042626	F	0.01	ATPase activity, coupled to transmembrane movement of substances
