GO:0008152	P	0.35	metabolic process
GO:0019538	P	0.34	protein metabolic process
GO:0044763	P	0.08	single-organism cellular process
GO:0006493	P	0.06	protein O-linked glycosylation
GO:0035269	P	0.02	protein O-linked mannosylation
GO:0001764	P	0.02	neuron migration
GO:0097370	P	0.01	protein O-GlcNAcylation via threonine
GO:0060041	P	0.01	retina development in camera-type eye
GO:0048747	P	0.01	muscle fiber development
GO:0048354	P	0.01	mucilage biosynthetic process involved in seed coat development
