GO:0008152	P	0.30	metabolic process
GO:0006065	P	0.12	UDP-glucuronate biosynthetic process
GO:0005975	P	0.12	carbohydrate metabolic process
GO:0006024	P	0.03	glycosaminoglycan biosynthetic process
GO:0044710	P	0.02	single-organism metabolic process
GO:0090263	P	0.01	positive regulation of canonical Wnt signaling pathway
GO:0052546	P	0.01	cell wall pectin metabolic process
GO:0045880	P	0.01	positive regulation of smoothened signaling pathway
GO:0042121	P	0.01	alginic acid biosynthetic process
GO:0042048	P	0.01	olfactory behavior
