GO:0009987	P	0.94	cellular process
GO:0008152	P	0.63	metabolic process
GO:0071704	P	0.54	organic substance metabolic process
GO:0044237	P	0.48	cellular metabolic process
GO:0044699	P	0.29	single-organism process
GO:0006807	P	0.22	nitrogen compound metabolic process
GO:1901360	P	0.20	organic cyclic compound metabolic process
GO:0044763	P	0.18	single-organism cellular process
GO:0046483	P	0.16	heterocycle metabolic process
GO:0034641	P	0.16	cellular nitrogen compound metabolic process
GO:0006725	P	0.16	cellular aromatic compound metabolic process
GO:0009058	P	0.14	biosynthetic process
GO:1901576	P	0.13	organic substance biosynthetic process
GO:0044249	P	0.13	cellular biosynthetic process
