GO:0044699	P	0.10	single-organism process
GO:0009987	P	0.03	cellular process
GO:0050794	P	0.02	regulation of cellular process
GO:0044767	P	0.02	single-organism developmental process
GO:0044763	P	0.02	single-organism cellular process
GO:0044710	P	0.02	single-organism metabolic process
GO:1902685	P	0.01	positive regulation of receptor localization to synapse
GO:1900101	P	0.01	regulation of endoplasmic reticulum unfolded protein response
GO:0098792	P	0.01	xenophagy
GO:0098779	P	0.01	mitophagy in response to mitochondrial depolarization
