GO:0009987	P	0.66	cellular process
GO:0008152	P	0.61	metabolic process
GO:0044237	P	0.46	cellular metabolic process
GO:0071704	P	0.44	organic substance metabolic process
GO:0044238	P	0.24	primary metabolic process
GO:0065007	P	0.18	biological regulation
GO:0006807	P	0.15	nitrogen compound metabolic process
GO:0050789	P	0.14	regulation of biological process
GO:0044699	P	0.14	single-organism process
GO:0050794	P	0.11	regulation of cellular process
GO:0043170	P	0.11	macromolecule metabolic process
GO:0044763	P	0.10	single-organism cellular process
GO:0034641	P	0.10	cellular nitrogen compound metabolic process
GO:1901360	P	0.09	organic cyclic compound metabolic process
GO:0046483	P	0.09	heterocycle metabolic process
