GO:0008152	P	0.07	metabolic process
GO:0044699	P	0.05	single-organism process
GO:0071704	P	0.04	organic substance metabolic process
GO:0044763	P	0.03	single-organism cellular process
GO:0044550	P	0.03	secondary metabolite biosynthetic process
GO:1903050	P	0.02	regulation of proteolysis involved in cellular protein catabolic process
GO:0046189	P	0.02	phenol-containing compound biosynthetic process
GO:0042181	P	0.02	ketone biosynthetic process
GO:0010498	P	0.02	proteasomal protein catabolic process
GO:0009405	P	0.02	pathogenesis
