GO:0080090	P	0.07	regulation of primary metabolic process
GO:0010556	P	0.07	regulation of macromolecule biosynthetic process
GO:0032885	P	0.02	regulation of polysaccharide biosynthetic process
GO:0006355	P	0.02	regulation of transcription, DNA-templated
GO:0070189	P	0.01	kynurenine metabolic process
GO:0065002	P	0.01	intracellular protein transmembrane transport
GO:0055114	P	0.01	oxidation-reduction process
GO:0044550	P	0.01	secondary metabolite biosynthetic process
GO:0043640	P	0.01	benzoate catabolic process via hydroxylation
GO:0043420	P	0.01	anthranilate metabolic process
