GO:0009987	P	0.80	cellular process
GO:0071704	P	0.45	organic substance metabolic process
GO:0044237	P	0.34	cellular metabolic process
GO:0043170	P	0.25	macromolecule metabolic process
GO:0044238	P	0.22	primary metabolic process
GO:0044699	P	0.21	single-organism process
GO:0044260	P	0.19	cellular macromolecule metabolic process
GO:0065007	P	0.12	biological regulation
GO:0050794	P	0.10	regulation of cellular process
GO:0044763	P	0.09	single-organism cellular process
GO:0006807	P	0.09	nitrogen compound metabolic process
