GO:0016787	F	0.20	hydrolase activity
GO:0005215	F	0.04	transporter activity
GO:0022857	F	0.02	transmembrane transporter activity
GO:0051082	F	0.01	unfolded protein binding
GO:0046914	F	0.01	transition metal ion binding
GO:0042626	F	0.01	ATPase activity, coupled to transmembrane movement of substances
GO:0015658	F	0.01	branched-chain amino acid transmembrane transporter activity
GO:0015288	F	0.01	porin activity
GO:0005509	F	0.01	calcium ion binding
GO:0004222	F	0.01	metalloendopeptidase activity
