GO:0009987	P	0.06	cellular process
GO:0018193	P	0.05	peptidyl-amino acid modification
GO:0050794	P	0.04	regulation of cellular process
GO:0071840	P	0.03	cellular component organization or biogenesis
GO:0080090	P	0.02	regulation of primary metabolic process
GO:0060255	P	0.02	regulation of macromolecule metabolic process
GO:0035556	P	0.02	intracellular signal transduction
GO:0031323	P	0.02	regulation of cellular metabolic process
GO:0018105	P	0.02	peptidyl-serine phosphorylation
GO:0016043	P	0.02	cellular component organization
