GO:0003824	F	1.00	catalytic activity
GO:0016787	F	0.97	hydrolase activity
GO:0005215	F	0.78	transporter activity
GO:0022857	F	0.68	transmembrane transporter activity
GO:0016817	F	0.48	hydrolase activity, acting on acid anhydrides
GO:0022804	F	0.47	active transmembrane transporter activity
GO:0016462	F	0.47	pyrophosphatase activity
GO:0042626	F	0.46	ATPase activity, coupled to transmembrane movement of substances
GO:0046943	F	0.01	carboxylic acid transmembrane transporter activity
GO:0043167	F	0.01	ion binding
