GO:0044699	P	0.87	single-organism process
GO:0009987	P	0.83	cellular process
GO:0008152	P	0.72	metabolic process
GO:0044237	P	0.58	cellular metabolic process
GO:0071704	P	0.53	organic substance metabolic process
GO:0044763	P	0.39	single-organism cellular process
GO:0051179	P	0.28	localization
GO:0044710	P	0.24	single-organism metabolic process
GO:0044238	P	0.17	primary metabolic process
GO:0044281	P	0.14	small molecule metabolic process
GO:0065007	P	0.13	biological regulation
GO:0050789	P	0.09	regulation of biological process
