GO:0009987	P	0.06	cellular process
GO:0016043	P	0.04	cellular component organization
GO:0044763	P	0.02	single-organism cellular process
GO:0006461	P	0.02	protein complex assembly
GO:2000042	P	0.01	negative regulation of double-strand break repair via homologous recombination
GO:0098910	P	0.01	regulation of atrial cardiac muscle cell action potential
GO:0097681	P	0.01	double-strand break repair via alternative nonhomologous end joining
GO:0072661	P	0.01	protein targeting to plasma membrane
GO:0071425	P	0.01	hematopoietic stem cell proliferation
GO:0060047	P	0.01	heart contraction
