GO:0050794	P	0.34	regulation of cellular process
GO:0044763	P	0.33	single-organism cellular process
GO:0032928	P	0.13	regulation of superoxide anion generation
GO:0016122	P	0.13	xanthophyll metabolic process
GO:0009688	P	0.13	abscisic acid biosynthetic process
GO:1903827	P	0.02	regulation of cellular protein localization
GO:0071921	P	0.02	cohesin loading
GO:0030261	P	0.02	chromosome condensation
GO:0007126	P	0.02	meiotic nuclear division
GO:0007063	P	0.02	regulation of sister chromatid cohesion
