GO:0009987	P	0.25	cellular process
GO:0030968	P	0.13	endoplasmic reticulum unfolded protein response
GO:0006486	P	0.13	protein glycosylation
GO:0006457	P	0.02	protein folding
GO:0071391	P	0.01	cellular response to estrogen stimulus
GO:0060124	P	0.01	positive regulation of growth hormone secretion
GO:0048644	P	0.01	muscle organ morphogenesis
GO:0046622	P	0.01	positive regulation of organ growth
GO:0045727	P	0.01	positive regulation of translation
GO:0036498	P	0.01	IRE1-mediated unfolded protein response
