GO:0003824	F	0.12	catalytic activity
GO:0060089	F	0.03	molecular transducer activity
GO:0042802	F	0.01	identical protein binding
GO:0042578	F	0.01	phosphoric ester hydrolase activity
GO:0022890	F	0.01	inorganic cation transmembrane transporter activity
GO:0016773	F	0.01	phosphotransferase activity, alcohol group as acceptor
GO:0016491	F	0.01	oxidoreductase activity
GO:0016301	F	0.01	kinase activity
GO:0008757	F	0.01	S-adenosylmethionine-dependent methyltransferase activity
GO:0000287	F	0.01	magnesium ion binding
