GO:0022892	F	0.58	substrate-specific transporter activity
GO:0003824	F	0.29	catalytic activity
GO:0022890	F	0.24	inorganic cation transmembrane transporter activity
GO:0046873	F	0.17	metal ion transmembrane transporter activity
GO:0072509	F	0.10	divalent inorganic cation transmembrane transporter activity
GO:0015085	F	0.09	calcium ion transmembrane transporter activity
GO:0005261	F	0.09	cation channel activity
GO:0005262	F	0.08	calcium channel activity
GO:0016491	F	0.04	oxidoreductase activity
GO:0051082	F	0.01	unfolded protein binding
