GO:2000008	P	0.02	regulation of protein localization to cell surface
GO:1903829	P	0.02	positive regulation of cellular protein localization
GO:1903828	P	0.02	negative regulation of cellular protein localization
GO:1903047	P	0.02	mitotic cell cycle process
GO:0061640	P	0.02	cytoskeleton-dependent cytokinesis
GO:0051129	P	0.02	negative regulation of cellular component organization
GO:0051051	P	0.02	negative regulation of transport
GO:0051043	P	0.02	regulation of membrane protein ectodomain proteolysis
GO:0046907	P	0.02	intracellular transport
GO:0045862	P	0.02	positive regulation of proteolysis
