GO:0005198	F	0.41	structural molecule activity
GO:0003824	F	0.10	catalytic activity
GO:0070011	F	0.01	peptidase activity, acting on L-amino acid peptides
GO:0050662	F	0.01	coenzyme binding
GO:0043424	F	0.01	protein histidine kinase binding
GO:0022891	F	0.01	substrate-specific transmembrane transporter activity
GO:0016788	F	0.01	hydrolase activity, acting on ester bonds
GO:0016491	F	0.01	oxidoreductase activity
GO:0009927	F	0.01	histidine phosphotransfer kinase activity
GO:0003700	F	0.01	transcription factor activity, sequence-specific DNA binding
