GO:0009987	P	0.51	cellular process
GO:0065007	P	0.41	biological regulation
GO:0050789	P	0.36	regulation of biological process
GO:0050794	P	0.35	regulation of cellular process
GO:0044699	P	0.34	single-organism process
GO:0048519	P	0.10	negative regulation of biological process
GO:0048523	P	0.09	negative regulation of cellular process
GO:0080090	P	0.07	regulation of primary metabolic process
GO:0060255	P	0.07	regulation of macromolecule metabolic process
GO:0051171	P	0.07	regulation of nitrogen compound metabolic process
