GO:0034641	P	0.17	cellular nitrogen compound metabolic process
GO:0071704	P	0.15	organic substance metabolic process
GO:0044238	P	0.15	primary metabolic process
GO:0006725	P	0.15	cellular aromatic compound metabolic process
GO:0044260	P	0.14	cellular macromolecule metabolic process
GO:0031125	P	0.13	rRNA 3'-end processing
GO:2000886	P	0.01	glucuronoxylan catabolic process
GO:0032259	P	0.01	methylation
GO:0019557	P	0.01	histidine catabolic process to glutamate and formate
GO:0019556	P	0.01	histidine catabolic process to glutamate and formamide
